"category"	"main.phenotype"	"redundant.phenotype"
"disgenet.all"	"C0235996"	"C0438237"
"disgenet.all"	"C0235996"	"C0151766"
"disgenet.curated"	"C0023890"	"C0239946"
"disgenet.curated"	"C1262760"	"C0860207"
"disgenet.curated"	"C1262760"	"C3658290"
"disgenet.curated"	"C0086565"	"C0023895"
"disgenet.curated"	"C2711227"	"C0015695"
"disgenet.curated"	"C3241937"	"C0400966"
"guildify.all"	"C0239946"	"C0023890"
"guildify.all"	"C0015695"	"C2711227"
"guildify.all"	"C0235996"	"C1848701"
"guildify.curated"	"C0086565"	"C2936476"
"guildify.curated"	"C0086565"	"C0022354"
