"Name"	"Accuracy"	"Precision"	"Recall"	"Specificity"	"F1"	"MCC"
"val.JAguirre_predictions_mix_smiles_continuous_gbm.txt"	"0.469387755102041"	"0.285714285714286"	"0.352941176470588"	"0.53125"	"0.315789473684211"	"-0.111391598584876"
"val.JAguirre_predictions_mix_smiles_continuous_rf.txt"	"0.510204081632653"	"0.387096774193548"	"0.705882352941177"	"0.40625"	"0.5"	"0.110716738975046"
"val.JAguirre_predictions_mix_smiles_discrete_gbm.txt"	"0.571428571428571"	"0.428571428571429"	"0.705882352941177"	"0.5"	"0.533333333333333"	"0.198029508595335"
"val.JAguirre_predictions_mix_smiles_discrete_rf.txt"	"0.571428571428571"	"0.428571428571429"	"0.705882352941177"	"0.5"	"0.533333333333333"	"0.198029508595335"
"val.JAguirre_predictions_mix_wilcox_continuous_gbm.txt"	"0.571428571428571"	"0.416666666666667"	"0.588235294117647"	"0.5625"	"0.48780487804878"	"0.143528708612871"
"val.JAguirre_predictions_mix_wilcox_continuous_rf.txt"	"0.551020408163265"	"0.407407407407407"	"0.647058823529412"	"0.5"	"0.5"	"0.14073344364025"
"val.JAguirre_predictions_mix_wilcox_discrete_gbm.txt"	"0.510204081632653"	"0.379310344827586"	"0.647058823529412"	"0.4375"	"0.478260869565217"	"0.0818925482100335"
"val.JAguirre_predictions_mix_wilcox_discrete_rf.txt"	"0.510204081632653"	"0.37037037037037"	"0.588235294117647"	"0.46875"	"0.454545454545455"	"0.0545342094105968"
"val.JAguirre_predictions_mix_wilcoxsmiles_continuous_gbm.txt"	"0.448979591836735"	"0.34375"	"0.647058823529412"	"0.34375"	"0.448979591836735"	"-0.00919117647058824"
"val.JAguirre_predictions_mix_wilcoxsmiles_continuous_rf.txt"	"0.530612244897959"	"0.384615384615385"	"0.588235294117647"	"0.5"	"0.465116279069767"	"0.0841571840953659"
"val.JAguirre_predictions_mix_wilcoxsmiles_discrete_gbm.txt"	"0.714285714285714"	"0.578947368421053"	"0.647058823529412"	"0.75"	"0.611111111111111"	"0.387897404328554"
"val.JAguirre_predictions_mix_wilcoxsmiles_discrete_rf.txt"	"0.571428571428571"	"0.409090909090909"	"0.529411764705882"	"0.59375"	"0.461538461538462"	"0.117864259048709"
"val.GRIB_predictions_mix_disgenet_discrete_rf.txt"	"0.591836734693878"	"0.285714285714286"	"0.117647058823529"	"0.84375"	"0.166666666666667"	"-0.0525105031510504"
"val.GRIB_predictions_mix_disgenet_discrete_gbm.txt"	"0.591836734693878"	"0.363636363636364"	"0.235294117647059"	"0.78125"	"0.285714285714286"	"0.0188736074820484"
"val.GRIB_predictions_mix_targets_discrete_rf.txt"	"0.531914893617021"	"0.391304347826087"	"0.529411764705882"	"0.533333333333333"	"0.45"	"0.0603108364042534"
"val.GRIB_predictions_mix_targets_discrete_gbm.txt"	"0.553191489361702"	"0.423076923076923"	"0.647058823529412"	"0.5"	"0.511627906976744"	"0.142128068471526"
"val.GRIB_predictions_mix_wilcox_discrete_gbm.txt"	"0.489795918367347"	"0.333333333333333"	"0.470588235294118"	"0.5"	"0.390243902439024"	"-0.0280056016805602"
"val.GRIB_predictions_mix_wilcox_discrete_rf.txt"	"0.571428571428571"	"0.423076923076923"	"0.647058823529412"	"0.53125"	"0.511627906976744"	"0.170067642859385"
"val.GRIB_predictions_mix_hub_discrete_gbm.txt"	"0.489795918367347"	"0.277777777777778"	"0.294117647058824"	"0.59375"	"0.285714285714286"	"-0.110716738975046"
"val.GRIB_predictions_mix_hub_discrete_rf.txt"	"0.63265306122449"	"0.454545454545455"	"0.294117647058824"	"0.8125"	"0.357142857142857"	"0.121629914884312"
"val.GRIB_predictions_mix_wilcoxtargets_discrete_rf.txt"	"0.425531914893617"	"0.291666666666667"	"0.411764705882353"	"0.433333333333333"	"0.341463414634146"	"-0.148892377373001"
"val.GRIB_predictions_mix_wilcoxtargets_discrete_gbm.txt"	"0.446808510638298"	"0.285714285714286"	"0.352941176470588"	"0.5"	"0.315789473684211"	"-0.142128068471526"
"val.GRIB_predictions_mix_wilcoxtargetsmiles_discrete_rf.txt"	"0.51063829787234"	"0.40625"	"0.764705882352941"	"0.366666666666667"	"0.530612244897959"	"0.135415723978619"
"val.GRIB_predictions_mix_wilcoxtargetsmiles_discrete_gbm.txt"	"0.51063829787234"	"0.384615384615385"	"0.588235294117647"	"0.466666666666667"	"0.465116279069767"	"0.0530611455627029"
